Order_ID,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_Percentage,Sales_Amount,Order_Date,City,Segment,Net_Profit_Loss
1002,Sarah Snyder,Jackets,Puffer Coat,1,637.82,0,637.82,02-01-2025,Mumbai,B2B,-158.03
1003,Jay Briggs,Shoes,Loafers,2,2962.27,0,5924.54,18-06-2025,Bengaluru,B2B,2296.5
1006,John Mclean,Jeans,Boyfriend Jeans,1,2060.85,0,2060.85,02-04-2024,Ahmedabad,B2B,198.36
1025,Christine Reed,Jeans,Straight Cut,4,4595.08,0,18380.32,18-07-2025,Bengaluru,OTHERS,330.82
1030,Brandi Jones,Dresses,Maxi Dress,3,1069.77,0,3209.31,03-09-2023,Hyderabad,B2C,1155.38
1036,Connie Cunningham,T-Shirts,Graphic Tee,2,2721.83,0,5443.66,06-04-2024,Ahmedabad,B2B,1213.95
1038,Courtney Riddle,T-Shirts,Crop Top,3,1692.38,0,5077.14,20-01-2024,Bengaluru,B2C,1704.49
1050,Matthew Schmidt,Jeans,Slim Fit Jeans,1,1083.16,0,1083.16,08-07-2025,Pune,B2C,2904.29
1066,Joshua Figueroa,Shoes,Slip-ons,2,3479.44,0,6958.88,15-01-2025,Delhi,OTHERS,-252.78
1090,Heather Arnold,Shoes,Slip-ons,5,2477.82,0,12389.1,09-11-2024,Ahmedabad,B2C,-888.86
1100,Daniel Brown,Shoes,Boots,2,2011.73,0,4023.46,30-12-2024,Hyderabad,B2C,2493.5
1103,Brandon Webb,Dresses,Bodycon,5,1521.46,0,7607.3,11-06-2025,Bengaluru,B2B,1713.47
1104,Andrew Moreno,Dresses,Maxi Dress,3,2752.71,0,8258.13,11-06-2024,Ahmedabad,B2B,1660.01
1114,Robert Williams,Dresses,Bodycon,6,568.61,0.2,2729.33,18-02-2025,Delhi,B2C,-689.16
1123,Michael Clarke,Accessories,Caps,5,3978.76,0,19893.8,11-04-2024,Ahmedabad,OTHERS,1494.78
1127,Rhonda Ray,Dresses,Bodycon,3,4843.44,0.07,13513.2,07-08-2024,Ahmedabad,B2B,2881.91
1129,Miranda Thomas,Jeans,Boyfriend Jeans,2,2412.36,0.23,3715.03,27-06-2025,Mumbai,B2C,-668.36
1135,Ronald Ballard,Shoes,Sneakers,4,1556.96,0.84,996.45,23-10-2024,Mumbai,B2B,1432.84
1142,Daniel Alvarez,Dresses,Bodycon,6,3004.58,0,18027.48,22-02-2024,Hyderabad,B2C,-509.67
1145,Jorge Anderson,T-Shirts,Graphic Tee,2,3607.9,0.94,432.95,06-11-2024,Hyderabad,B2B,-171.58
1151,Joseph Allen,Jeans,Straight Cut,4,2266.44,0.33,6074.06,17-07-2025,Pune,B2C,-655.45
1153,Julia Evans,Accessories,Belts,1,478.59,0,478.59,15-12-2024,Delhi,B2B,-681.2
1157,Dean Allen,Jeans,Ripped Denim,6,645.03,0,3870.18,25-06-2025,Ahmedabad,B2C,2724.92
1172,Diane Davis,Jackets,Puffer Coat,2,2719.32,0,5438.64,02-05-2025,Hyderabad,B2C,655.1
1174,Tiffany Flores,Jackets,Leather Jacket,6,4984.65,0.42,17346.58,23-12-2024,Bengaluru,OTHERS,2931.32
1183,Sherry Ward,Accessories,Watches,6,2372.3,0,14233.8,27-03-2024,Delhi,OTHERS,1888.87
1188,Maria Morrow,Accessories,Belts,6,4910.28,0.12,25926.28,27-08-2024,Bengaluru,OTHERS,2089.25
1198,Jacqueline Erickson,Accessories,Sunglasses,3,3594.97,0,10784.91,17-04-2025,Delhi,B2C,2422.27
1201,Crystal Hayes MD,Jackets,Bomber Jacket,2,3507.85,0,7015.7,10-01-2025,Pune,B2B,1023.04
1212,Bradley Quinn,Shoes,Slip-ons,1,4098.12,0,4098.12,17-10-2024,Hyderabad,OTHERS,-656.35
1214,Alicia Hernandez,Jackets,Leather Jacket,4,1273.6,0,5094.4,18-06-2025,Hyderabad,B2C,1851.89
1218,Jamie Alexander,Dresses,Wrap Dress,3,1544.45,0.33,3104.34,31-03-2025,Hyderabad,B2B,707.56
1232,Sierra Miller,Shoes,Sneakers,2,2526.77,0,5053.54,14-09-2023,Mumbai,B2C,1494.67
1239,Karina Davis,T-Shirts,Graphic Tee,4,644.58,0,2578.32,20-10-2024,Delhi,B2B,1097.88
1241,Caroline Thomas,Jeans,Slim Fit Jeans,6,3111.95,0,18671.7,22-06-2024,Bengaluru,OTHERS,2814.82
1251,Hailey Sullivan,Dresses,Casual Midi,2,4841.4,0.6,3873.12,04-02-2025,Pune,OTHERS,578.37
1252,Brandy Clark,T-Shirts,Classic Tee,6,1638.51,0.88,1179.73,02-04-2025,Mumbai,B2C,1484.7
1255,Kim Campos,T-Shirts,Classic Tee,4,1849.68,0,7398.72,06-12-2024,Hyderabad,B2C,-706.09
1258,Shane Gomez,Dresses,Bodycon,2,4313.38,0,8626.76,12-03-2025,Delhi,B2C,2636.96
1259,Tyler Haney,Shoes,Boots,2,3396.92,0,6793.84,05-05-2025,Ahmedabad,OTHERS,-830.5
1267,Sarah Andrews,Jackets,Bomber Jacket,3,3255.23,0,9765.69,16-11-2023,Delhi,B2B,650.8
1275,Kelly Wong,Dresses,Casual Midi,3,4132,0,12396,26-02-2024,Bengaluru,B2B,2732.47
1277,Michael Coleman,Accessories,Sunglasses,2,4720.52,0.57,4059.65,05-09-2024,Delhi,B2C,1255.66
1296,Lori Orozco,Jeans,Slim Fit Jeans,2,2795.79,0,5591.58,26-03-2025,Bengaluru,B2B,1438.47
1299,John Levine,Jackets,Denim Jacket,1,1026.58,0,1026.58,26-10-2024,Hyderabad,B2C,1178.37
1307,Amber Lee,Dresses,Maxi Dress,2,2648.43,0,5296.86,08-08-2024,Ahmedabad,B2B,642
1308,Michael Joseph,Dresses,Bodycon,2,4203.62,0,8407.24,08-04-2025,Mumbai,B2B,464.65
1315,Mark Gonzales,Jeans,Boyfriend Jeans,2,515.04,0,1030.08,30-06-2024,Bengaluru,OTHERS,-279.01
1328,Christine Drake,Shoes,Boots,4,3250.24,0.56,5720.42,27-05-2025,Pune,B2B,2269.54
1329,Eric Medina,T-Shirts,Graphic Tee,1,2587.78,0,2587.78,25-12-2023,Hyderabad,B2C,1667.02
1334,Russell Douglas,Dresses,Maxi Dress,6,1454.69,0,8728.14,06-06-2025,Delhi,OTHERS,652.87
1355,Ryan James,Dresses,Bodycon,1,1054.69,0.18,864.85,20-10-2024,Mumbai,B2B,698.05
1362,Krista Wright,T-Shirts,Classic Tee,1,4953.02,0,4953.02,07-12-2024,Ahmedabad,B2C,-499.33
1376,Megan Smith,Accessories,Caps,4,1447.28,0,5789.12,27-07-2024,Hyderabad,B2B,175.33
1383,Rachel Bradford,Dresses,Maxi Dress,5,2409.13,0,12045.65,03-07-2025,Pune,B2C,127.63
